"year","gp20","sex","Secondary education","Under-5 mortality","Birth registration","Stunting"
1990,"P20","female",0.015900772044888,0.141336017131455,NA,0.5103817995281
1993,"P20","female",0.019196237689286,0.142944074806595,NA,0.505691843790219
1996,"P20","female",0.022891982793092,0.142873931049437,NA,0.497455233544128
1999,"P20","female",0.024516579830403,0.142182893344201,0.28251058997922,0.475117288494414
2002,"P20","female",0.0230191911000944,0.133188738212925,0.283576976398363,0.499254240564922
2005,"P20","female",0.0225200614511794,0.120060446733127,0.292665870291804,0.506154091981135
2008,"P20","female",0.0297701517430673,0.10166900053098,0.409520613511369,0.480584715526708
2010,"P20","female",0.0334759781362303,0.0930926259900583,0.463022899690757,0.466169346661732
2011,"P20","female",0.0363657504960185,0.0904665363458196,0.47427603199073,0.460880487485578
2012,"P20","female",0.0384100500798903,0.0879485722752012,0.488319352849568,0.455486549703174
2013,"P20","female",0.0412729916635527,0.0853533677875739,0.499080408025219,0.44809917312956
2015,"P20","female",0.0424807108471549,0.0829207066600956,0.503739263394057,0.441428036124936
1990,"Rest of population","female",0.140367887589214,0.0947695937688985,NA,0.419774934906655
1993,"Rest of population","female",0.145725711289084,0.0934771679017388,NA,0.416763436317326
1996,"Rest of population","female",0.18012242355666,0.0888961695240523,NA,0.399073567068944
1999,"Rest of population","female",0.212029637727531,0.0862218407793198,0.533427251767581,0.388624670165472
2002,"Rest of population","female",0.209968881574508,0.0775040504968761,0.538354464084561,0.368310915777047
2005,"Rest of population","female",0.2154746875043,0.0661787860683851,0.55095983892957,0.347896560203877
2008,"Rest of population","female",0.243837227267795,0.0544087246839158,0.644353715934383,0.310225887515981
2010,"Rest of population","female",0.256488822545889,0.0494452292296215,0.692945100197034,0.292093837799815
2011,"Rest of population","female",0.262676062240091,0.0472412087576228,0.715339230680334,0.28501137265443
2012,"Rest of population","female",0.267765531841237,0.0458786654963334,0.7278145287616,0.277746823804073
2013,"Rest of population","female",0.275780471399448,0.0442953804522982,0.740373617743307,0.268002246806695
2015,"Rest of population","female",0.281217384247064,0.0419431628020692,0.761707919364597,0.258945159185202
1990,"P20","male",0.0379626973712359,0.142791719532904,NA,0.540440280432992
1993,"P20","male",0.0441926105664502,0.144551534597286,NA,0.537847945114118
1996,"P20","male",0.0614190448118544,0.145107474265775,NA,0.52159386256376
1999,"P20","male",0.0735950858597855,0.145478561995051,0.282624250404581,0.492298343189294
2002,"P20","male",0.0668617661064865,0.134141972957485,0.281513271930264,0.524173920586311
2005,"P20","male",0.0605351144892328,0.121149565167227,0.290030984758711,0.533904916272877
2008,"P20","male",0.0729174188544287,0.106600056886318,0.407980183331905,0.510790076460033
2010,"P20","male",0.0801125691366323,0.100473326187712,0.461589427501642,0.497328348042212
2011,"P20","male",0.0842719543035459,0.0981273413639977,0.473528035958862,0.492075605720129
2012,"P20","male",0.0877432961468922,0.095543818876102,0.487418201708203,0.486588241245735
2013,"P20","male",0.0921048381072819,0.0932280577073608,0.498481744785311,0.480356235022603
2015,"P20","male",0.0942850267176706,0.0909680770017981,0.504253707231313,0.473253258333621
1990,"Rest of population","male",0.220835514541839,0.0986565190005194,NA,0.428281939523918
1993,"Rest of population","male",0.226756698459834,0.0974713292948177,NA,0.425471452062308
1996,"Rest of population","male",0.288584143290327,0.0921186627393018,NA,0.399898326899291
1999,"Rest of population","male",0.34482447160102,0.0881840814038608,0.530592080355317,0.38126278884886
2002,"Rest of population","male",0.324399843340706,0.080506440150464,0.537152240315218,0.371406154175199
2005,"Rest of population","male",0.314578591268278,0.0707649272304825,0.549878777291917,0.358798248994494
2008,"Rest of population","male",0.339271966440901,0.0601468718631857,0.645558671486844,0.32931180602291
2010,"Rest of population","male",0.350733179636599,0.0555625549944872,0.69461712424207,0.31362323693543
2011,"Rest of population","male",0.356519622043868,0.0538373331062768,0.716730982992138,0.307634167141482
2012,"Rest of population","male",0.360980292043795,0.0525774234675631,0.72988681939808,0.301446729654349
2013,"Rest of population","male",0.369165425162511,0.0508715900734533,0.74322123864417,0.29209985638415
2015,"Rest of population","male",0.373526146340978,0.049139290552996,0.764621044440394,0.283482797009797
1990,"P20","total",0.0267110966931307,0.142051916294603,NA,0.525678813697148
1993,"P20","total",0.0314232309884495,0.143735319307848,NA,0.522095020249338
1996,"P20","total",0.0416979599498552,0.14397631603515,NA,0.509684279620964
1999,"P20","total",0.0484127215881439,0.143811198726251,0.282571442606977,0.483800474552518
2002,"P20","total",0.0441596844193761,0.133619057706762,0.282541093366008,0.511943802459109
2005,"P20","total",0.0407107096715539,0.120562306509724,0.291340826253289,0.520310635819447
2008,"P20","total",0.0504278273567143,0.104144738271717,0.408777080884615,0.495909047581302
2010,"P20","total",0.0558165309227239,0.0968280806636018,0.462335325309482,0.481922372627927
2011,"P20","total",0.0593285766360018,0.0943484681106353,0.473940405018402,0.476622966487044
2012,"P20","total",0.0620724616168372,0.0918002685026956,0.487910422572475,0.471189932053274
2013,"P20","total",0.0656899389493911,0.0893570115019182,0.498826174317248,0.464376769132346
2015,"P20","total",0.0673474846697956,0.0870163204270723,0.504052482145507,0.457542128302248
1990,"Rest of population","total",0.180270293641308,0.09675040329393,NA,0.424160749752409
1993,"Rest of population","total",0.185908251009494,0.0955154624951452,NA,0.421251197479595
1996,"Rest of population","total",0.233888617935394,0.0905375240529002,NA,0.399568683616287
1999,"Rest of population","total",0.277839382347911,0.0872128012951018,0.531957821043481,0.38483239173523
2002,"Rest of population","total",0.266346593237826,0.0790370284543579,0.537720411971504,0.369914562633097
2005,"Rest of population","total",0.264028632472577,0.0685373238291236,0.550391484525039,0.353516997746374
2008,"Rest of population","total",0.290472991487127,0.0572202141823704,0.64499083369707,0.320068505843415
2010,"Rest of population","total",0.302444299775305,0.0524769958542301,0.693837254830464,0.303210186702189
